#Label	#Number	She	Rhyme	1 kai	2 kai	3 kai	4 kai	1 he	2 he	3 he	4 he	Tone
映	155	10	35	-	arjŋh	iajŋh	iajŋh	-	warjŋh	wiajŋh	-	3
諍	156	10	36	-	ɛrjŋh	-	-	-	wɛrjŋh	-	-	3
勁	157	10	37	-	-	iajŋh	jiajŋh	-	-	-	jwiajŋh	3
徑	158	10	38	-	-	-	ɛjŋh	-	-	-	wɛjŋh	3
證	159	9	32	-	-	iŋh	iŋh	-	-	-	-	3
嶝	160	9	31	ǝŋh	-	-	-	-	-	-	-	3
宥	161	7	25	-	uwh	uwh	uwh	-	-	-	-	3
𠋫	162	7	24	owh	-	-	-	-	-	-	-	3
幼	163	7	26	-	-	-	jiwh	-	-	-	-	3
沁	164	16	94	-	imh	imh	jimh	-	-	-	-	3
勘	165	15	78	ǝmh	-	-	-	-	-	-	-	3
闞	166	15	79	amh	-	-	-	-	-	-	-	3
豔	167	15	84	-	-	iamh	jiamh	-	-	-	-	3
㮇	168	15	85	-	-	-	ɛmh	-	-	-	-	3
# Guangyun seems to list 80, 81, 82 in a different order in qusheng from pingsheng and shangsheng
# (Or is the listing in Middle Chinese p. 236 wrong?)
釅	169	15	82	-	-	ɨamh	-	-	-	-	-	3
陷	170	15	81	-	ɛrmh	-	-	-	-	-	-	3
鑑	171	15	80	-	armh	-	-	-	-	-	-	3
梵	172	15	83	-	-	-	-	-	-	uamh	-	3
屋	173	12	48	owk	owk	uwk	uwk	-	-	-	-	4
沃	174	12	49	awk	-	-	-	-	-	-	-	4
燭	175	12	50	-	-	uawk	uawk	-	-	-	-	4
覺	176	11	44	-	arwk	-	-	-	-	-	-	4
質	177	14	76	-	it	it	jit	-	wit	-	wit	4
術	178	14	77	-	-	-	-	-	jwit	jwit	jwit	4
櫛	179	14	75	-	it	-	-	-	it	-	-	4
物	180	14	74	-	-	-	-	-	-	ut	-	4
迄	181	14	73	-	-	ɨt	-	-	-	-	-	4
月	182	13	62	-	-	ɨat	-	-	-	uat	-	4
沒	183	14	72	ǝt	ǝt	-	-	wǝt	wǝt	-	-	4
曷	184	13	58	at	-	-	-	-	-	-	-	4
末	185	13	59	-	-	-	-	wat	-	-	-	4
